Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"ACRISIUS (GB)",2022,GELDING,"ARDAD (IRE)","AETNA (GB)","Michael & David Easterby",75,,,,,,,,,,,
"ACROSS EARTH (IRE)",2021,GELDING,"GOLDEN HORN (GB)","WAR NO MORE (USA)","Gary & Josh Moore",,,,,,,,,,117,,
"ACT OF AUTHORITY (FR)",2018,GELDING,"AUTHORIZED (IRE)","LEAH CLAIRE (IRE)","Olly Murphy",,,,,,,,,,135,,
"ACT OF HONOR (GB)",2023,GELDING,"IFFRAAJ (GB)","SUBAANA (IRE)","Fionn McSharry",46,,,,,,,,,,,
"ACT OF INNOCENCE (IRE)",2020,GELDING,"MY DREAM BOAT (IRE)","TUB OF HARTE'S (IRE)",,,,,,,,,,,149,,
"ACT OF KINDNESS (GB)",2023,FILLY,"SIYOUNI (FR)","SHAMBOLIC (IRE)","Charlie Appleby",101,,,,,,,,,,,
"ACT OF VIOLENCE (GB)",2021,GELDING,"OUTSTRIP (GB)","BACALL (GB)","Tony Carroll",55,,,,,,,,,,,
"ACTION PACT (GB)",2021,GELDING,"GOLDEN HORN (GB)","AMERICA MON AMIE (USA)","Michael & David Easterby",68,,,,,,,,,,,
"ACTION REACTION (GB)",2023,FILLY,"MASAR (IRE)","PERFECT SHOWDANCE (GB)","George Boughey",55,,,,,,,,,,,
"ACTIVIST (FR)",2019,GELDING,"IFFRAAJ (GB)","ABOVE THE CLOUDS (FR)","David Pipe",,,,,,,,,,105,,
"ACTUALLY ANN (GB)",2023,FILLY,"MOHAATHER (GB)","ACCOLADE (GB)",,30,,,,,,,,,,,
"ADA ROSE (GB)",2023,FILLY,"SHOWCASING (GB)","MESSALINA (IRE)","Kevin Philippart de Foy",52,,,,,,,,,,,
"ADAAY DANCING (GB)",2021,FILLY,"ADAAY (IRE)","DANCING STORM (GB)","Max Comley",50,,,,,,,,,84,,
"ADACE (GB)",2018,FILLY,"ADAAY (IRE)","MARJONG (GB)",,53,,,,,,,,,,,
"ADALIDA (GB)",2023,FILLY,"ARDAD (IRE)","SQUELCH (GB)","Stuart Williams",64,,,,,,,,,,,
"ADBA (FR)",2023,FILLY,"STARSPANGLEDBANNER (AUS)","AJAYEB (IRE)","Ralph Beckett",57,-1,,,,,,,,,,
"ADDARELLA (IRE)",2022,FILLY,"EARTHLIGHT (IRE)","RIBBLE (FR)","Scott Dixon",70,-2,,,,,,,,,,
"ADDICTIVE (IRE)",2022,GELDING,"KODIAC (GB)","DIERAMA (IRE)","Craig Benton",70,,,,,,,,,,,
"ADDISON GREY (GB)",2022,GELDING,"HAVANA GREY (GB)","MOON SONG (GB)","Clive Cox",94,,,,,,,,,,,
"ADDMANN (GB)",2023,COLT,"ADVERTISE (GB)","LADY LUSTRE (GB)","Joe Tickle",40,,,,,,,,,,,
"ADE BOY (IRE)",2021,GELDING,"BULLET TRAIN (GB)","L'ETOILE DU NORD (IRE)","Charlie Longsdon",,,,,,,,,,108,-1,collateral
"ADELAIDE BAY (GB)",2022,GELDING,"NEW BAY (GB)","VITAMIN (IRE)","Jane Chapple-Hyam",52,,,,,,,,,,,
"ADIADA (GB)",2023,FILLY,"POSTPONED (IRE)","ANTICO LADY (IRE)","Michael Dods",69,,,,,,,,,,,
"ADJUVANT (IRE)",2019,GELDING,"NEW BAY (GB)","LEVANTO (IRE)","Michael Bell",81,-3,,,,,,,,,,
"ADMIRAL STEWART (IRE)",2019,GELDING,"SOLDIER OF FORTUNE (IRE)","IVY QUEEN (IRE)","Jamie Snowden",,,,,,,115,,,,,
"ADMIRALTY HOUSE (GB)",2019,GELDING,"SEA THE STARS (IRE)","AKRIVI (IRE)","Sandy Thomson",,,,,,,,,,109,,
"ADONEDEAL (IRE)",2020,GELDING,"CALIFET (FR)","SHOKALOCKA BABY (IRE)","Olly Murphy",,,,,,,,,,116,,
"ADORES (IRE)",2023,FILLY,"BATED BREATH (GB)","ADORE (GB)","Roger Teal",57,,,,,,,,,,,
"ADORLA OF ACHILL (IRE)",2022,FILLY,"STREET SENSE (USA)","FOOLISH WAYS (IRE)",,66,,,,,,,,,,,
"ADRESTIA (GB)",2022,FILLY,"HAVANA GREY (GB)","IN TRUTINA (GB)","Simon & Ed Crisford",99,,,,,,,,,,,
"ADRIAN (GER)",2017,GELDING,"RELIABLE MAN (GB)","ANNA DESTA (GER)","Bernard Llewellyn",45,-1,,,,,,,,,,
"ADVANCE TWENTYFIVE (FR)",2023,GELDING,"VICTOR LUDORUM (GB)","SELFSAME (USA)","Richard & Peter Fahey",84,,,,,,,,,,,
"ADVANCING (GB)",2022,GELDING,"LOPE DE VEGA (IRE)","INTISAAR (USA)","Marco Botti",88,-1,,,,,,,,,,
"ADVERAM (GB)",2019,GELDING,"WALK IN THE PARK (IRE)","LOCHNELL (IRE)","Ian Duncan",,,,,,,93,-3,,93,-3,
"ADVERTISED (IRE)",2023,COLT,"ADVERTISE (GB)","MISS CARBONIA (IRE)","Grant Tuer",93,-1,,,,,,,,,,
"ADVERTORIAL (GB)",2022,FILLY,"ADVERTISE (GB)","SOLAR ECHO (IRE)","Daniel O'Brien",49,,,,,,,,,,,
"AEGEAN PRINCE (GB)",2022,GELDING,"DUBAWI (IRE)","MUSIS AMICA (IRE)","Charlie Appleby",99,,,,,,,,,,,
"AEOLIAN (GB)",2022,FILLY,"FASTNET ROCK (AUS)","DESERT BREEZE (GB)",,90,,,,,,,,,,,
"AEQUITAS (FR)",2022,FILLY,"SEA THE MOON (GER)","HOUSELADY (FR)","David O'Meara",90,,,,,,,,,,,
"AERIAL SILK (GB)",2023,GELDING,"BATED BREATH (GB)","MULBERRY SILK (GB)","David Menuisier",73,,,,,,,,,,,
"AEROPLANE BLONDE (GB)",2020,GELDING,"BLUE BRESIL (FR)","NUALA (GB)","Samuel Drinkwater",,,,,,,,,,100,,
"AEROS LUCK (IRE)",2019,GELDING,"MY DREAM BOAT (IRE)","SAPERE AUDE (IRE)","Sandy Thomson",,,,,,,123,,,,,
"AFADIL (FR)",2019,GELDING,"CAMELOT (GB)","AFSHEEN (FR)","Paul Nicholls",,,,,,,,,,118,,
"AFANCY GETAWAY (IRE)",2020,FILLY,"GETAWAY (GER)","NORAS FANCY (IRE)","Ben Pauling",,,,,,,,,,108,,
"AFENTIKO (IRE)",2022,COLT,"HELLO YOUMZAIN (FR)","MISSISIPI BAILEYS (FR)","Oliver Cole",90,,,,,,,,,,,
"AFFECTION (FR)",2023,FILLY,"BOW CREEK (IRE)","FRAGRANCE (FR)","David Pipe",83,,,,,,,,,,,
